created_at,entry_id,field1,field2
2023-07-04 04:10:58 UTC,15147884,0.000000,2.000000
2023-07-04 04:11:13 UTC,15147885,2.000000,0.000000
2023-07-04 04:11:28 UTC,15147886,8.000000,1.000000
2023-07-04 04:11:44 UTC,15147887,0.000000,1.000000
2023-07-04 04:11:59 UTC,15147888,0.000000,0.000000
2023-07-04 04:12:15 UTC,15147889,1.000000,0.000000
2023-07-04 04:12:30 UTC,15147890,0.000000,5.000000
2023-07-04 04:12:46 UTC,15147891,0.000000,2.000000
2023-07-04 04:13:02 UTC,15147892,0.000000,0.000000
2023-07-04 04:13:17 UTC,15147893,1.000000,0.000000
2023-07-04 04:13:34 UTC,15147894,2.000000,2.000000
2023-07-04 04:13:49 UTC,15147895,3.000000,2.000000
2023-07-04 04:14:06 UTC,15147896,8.000000,2.000000
2023-07-04 04:14:21 UTC,15147897,6.000000,2.000000
2023-07-04 04:14:37 UTC,15147898,0.000000,2.000000
2023-07-04 04:14:53 UTC,15147899,1.000000,3.000000
2023-07-04 04:15:09 UTC,15147900,2.000000,1.000000
2023-07-04 04:15:25 UTC,15147901,2.000000,2.000000
2023-07-04 04:15:41 UTC,15147902,0.000000,3.000000
2023-07-04 04:15:56 UTC,15147903,0.000000,0.000000
2023-07-04 04:16:11 UTC,15147904,1.000000,2.000000
2023-07-04 04:16:27 UTC,15147905,1.000000,0.000000
2023-07-04 04:16:42 UTC,15147906,0.000000,0.000000
2023-07-04 04:16:57 UTC,15147907,0.000000,0.000000
2023-07-04 04:17:13 UTC,15147908,0.000000,2.000000
2023-07-04 04:17:28 UTC,15147909,2.000000,0.000000
2023-07-04 04:17:44 UTC,15147910,0.000000,0.000000
2023-07-04 04:18:01 UTC,15147911,0.000000,5.000000
2023-07-04 04:18:16 UTC,15147912,0.000000,0.000000
2023-07-04 04:18:31 UTC,15147913,0.000000,0.000000
2023-07-04 04:18:47 UTC,15147914,0.000000,0.000000
2023-07-04 04:19:02 UTC,15147915,0.000000,0.000000
2023-07-04 04:19:17 UTC,15147916,2.000000,0.000000
2023-07-04 04:19:32 UTC,15147917,3.000000,2.000000
2023-07-04 04:19:48 UTC,15147918,1.000000,0.000000
2023-07-04 04:20:05 UTC,15147919,2.000000,0.000000
2023-07-04 04:20:20 UTC,15147920,0.000000,1.000000
2023-07-04 04:20:35 UTC,15147921,1.000000,0.000000
2023-07-04 04:20:51 UTC,15147922,1.000000,0.000000
2023-07-04 04:21:07 UTC,15147923,0.000000,2.000000
2023-07-04 04:21:22 UTC,15147924,6.000000,0.000000
2023-07-04 04:21:38 UTC,15147925,3.000000,2.000000
2023-07-04 04:21:54 UTC,15147926,0.000000,0.000000
2023-07-04 04:22:09 UTC,15147927,1.000000,2.000000
2023-07-04 04:22:24 UTC,15147928,2.000000,0.000000
2023-07-04 04:22:40 UTC,15147929,4.000000,0.000000
2023-07-04 04:22:56 UTC,15147930,2.000000,0.000000
2023-07-04 04:23:11 UTC,15147931,3.000000,1.000000
2023-07-04 04:23:27 UTC,15147932,1.000000,2.000000
2023-07-04 04:23:43 UTC,15147933,2.000000,2.000000
2023-07-04 04:23:58 UTC,15147934,0.000000,0.000000
2023-07-04 04:24:13 UTC,15147935,3.000000,1.000000
2023-07-04 04:24:28 UTC,15147936,3.000000,2.000000
2023-07-04 04:24:44 UTC,15147937,3.000000,1.000000
2023-07-04 04:25:00 UTC,15147938,4.000000,3.000000
2023-07-04 04:25:15 UTC,15147939,0.000000,0.000000
2023-07-04 04:25:31 UTC,15147940,0.000000,4.000000
2023-07-04 04:25:47 UTC,15147941,0.000000,1.000000
2023-07-04 04:26:02 UTC,15147942,0.000000,2.000000
2023-07-04 04:26:17 UTC,15147943,2.000000,0.000000
2023-07-04 04:26:33 UTC,15147944,0.000000,0.000000
2023-07-04 04:26:48 UTC,15147945,0.000000,0.000000
2023-07-04 04:27:03 UTC,15147946,5.000000,2.000000
2023-07-04 04:27:18 UTC,15147947,2.000000,2.000000
2023-07-04 04:27:34 UTC,15147948,1.000000,0.000000
2023-07-04 04:27:50 UTC,15147949,8.000000,1.000000
2023-07-04 04:28:05 UTC,15147950,1.000000,0.000000
2023-07-04 04:28:21 UTC,15147951,0.000000,0.000000
2023-07-04 04:28:36 UTC,15147952,0.000000,0.000000
2023-07-04 04:28:52 UTC,15147953,0.000000,2.000000
2023-07-04 04:29:07 UTC,15147954,0.000000,0.000000
2023-07-04 04:29:22 UTC,15147955,0.000000,0.000000
2023-07-04 04:29:38 UTC,15147956,4.000000,4.000000
2023-07-04 04:29:53 UTC,15147957,10.000000,5.000000
2023-07-04 04:30:09 UTC,15147958,0.000000,1.000000
2023-07-04 04:30:24 UTC,15147959,0.000000,0.000000
2023-07-04 04:30:39 UTC,15147960,1.000000,3.000000
2023-07-04 04:30:55 UTC,15147961,2.000000,0.000000
